W/L,winner,method,Round,Date,Fighter,Opponent,f_SLpM,f_SApM,f_TD_pct,f_W_pct,f_KO_pct,f_Sub_pct,f_Finish_pct,f_ctrl,o_SLpM,o_SApM,o_TD_pct,o_W_pct,o_KO_pct,o_Sub_pct,o_Finish_pct,o_ctrl,f_ELO,o_ELO,f_survivor_score,o_survivor_score
loss,Matt Ricehouse,DEC,3,2010-12-04,Tom Aaron,Matt Ricehouse,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Tom Aaron,SUB,1,2010-05-15,Tom Aaron,Eric Steenberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Jorge Gurgel,DEC,3,2006-09-23,Danny Abbadi,Jorge Gurgel,1.023,7.159,0.0,0.0,0.0,0.0,1.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,880.0,1000.0
loss,Kalib Starnes,SUB,1,2006-06-24,Danny Abbadi,Kalib Starnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,890.0,1000.0
loss,Ismael Bonfim,DEC,3,2022-09-06,Nariman Abbasov,Ismael Bonfim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,900.0,1000.0
loss,Donte Johnson,KO/TKO,1,2025-08-26,Darion Abbey,Donte Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,910.0,1000.0
loss,Kevin Ferguson,KO/TKO,1,2008-02-16,David Abbott,Kevin Ferguson,1.773,2.42,0.571,0.0,0.556,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Paul Buentello,KO/TKO,1,2006-10-07,David Abbott,Paul Buentello,1.745,2.344,0.6,0.0,0.556,0.333,1.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,992.0,1000.0,820.0,1000.0
loss,Hidehiko Yoshida,SUB,1,2005-08-28,David Abbott,Hidehiko Yoshida,1.875,2.389,0.579,0.2,0.556,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,830.0,1000.0
loss,Wesley Correira,KO/TKO,1,2003-11-21,David Abbott,Wesley Correira,1.795,2.299,0.611,0.4,0.556,0.333,1.0,0.0,3.251,0.887,0.0,1.0,1.0,0.0,1.0,197.0,1000.0,1008.0,1010.0,930.0
loss,Kimo Leopoldo,SUB,1,2003-06-06,David Abbott,Kimo Leopoldo,1.837,2.342,0.647,0.4,0.556,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1020.0,1000.0
loss,Frank Mir,SUB,1,2003-02-28,David Abbott,Frank Mir,1.842,2.364,0.688,0.4,0.556,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,810.0,1120.0
loss,Pedro Rizzo,KO/TKO,1,1998-10-16,David Abbott,Pedro Rizzo,1.828,2.299,0.667,0.4,0.556,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1130.0,1000.0
win,David Abbott,KO/TKO,1,1998-05-15,David Abbott,Hugo Duarte,1.697,2.321,0.714,0.4,0.5,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1140.0,1000.0
win,David Abbott,DEC,2,1997-12-21,David Abbott,Yoji Anjo,1.706,2.467,0.538,0.4,0.571,0.429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1008.0,1150.0,1010.0
loss,Maurice Smith,SUB,1,1997-10-17,David Abbott,Maurice Smith,1.86,2.607,0.583,0.4,0.571,0.429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Vitor Belfort,KO/TKO,1,1997-05-30,David Abbott,Vitor Belfort,1.853,2.382,0.636,0.6,0.571,0.429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1030.0,1000.0
loss,Don Frye,SUB,1,1996-12-07,David Abbott,Don Frye,1.537,2.374,0.75,0.6,0.4,0.6,1.0,0.0,6.25,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1000.0,1000.0,850.0,1000.0
win,David Abbott,KO/TKO,1,1996-12-07,David Abbott,Steve Nelmark,1.537,2.374,0.75,0.6,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,730.0,1000.0
win,David Abbott,KO/TKO,1,1996-12-07,David Abbott,Cal Worsham,1.537,2.374,0.75,0.6,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,830.0,1000.0
loss,Scott Ferrozzo,DEC,2,1996-09-20,David Abbott,Scott Ferrozzo,1.071,1.582,0.8,0.6,0.667,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,840.0,1000.0
win,David Abbott,SUB,1,1996-09-20,David Abbott,Sam Adkins,1.071,1.582,0.8,0.6,0.667,0.333,1.0,0.0,0.0,0.519,0.0,0.667,0.5,0.0,1.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Dan Severn,DEC,1,1995-12-16,David Abbott,Dan Severn,1.903,0.25,1.0,0.667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
