W/L,winner,method,Round,Date,Fighter,Opponent,f_SLpM,f_SApM,f_TD_pct,f_W_pct,f_KO_pct,f_Sub_pct,f_Finish_pct,f_ctrl,o_SLpM,o_SApM,o_TD_pct,o_W_pct,o_KO_pct,o_Sub_pct,o_Finish_pct,o_ctrl,f_ELO,o_ELO,f_survivor_score,o_survivor_score
loss,Noad Lahat,DEC,3,2015-06-20,Niklas Backstrom,Noad Lahat,2.156,2.335,0.0,0.5,0.0,1.0,1.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Mike Wilkinson,KO/TKO,1,2014-10-04,Niklas Backstrom,Mike Wilkinson,1.176,1.647,0.0,1.0,0.0,1.0,1.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Niklas Backstrom,SUB,1,2014-05-31,Niklas Backstrom,Tom Niinimaki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1010.0,1000.0
loss,Leon Edwards,KO/TKO,1,2015-04-11,Seth Baczynski,Leon Edwards,3.081,3.128,0.636,0.2,0.167,0.5,1.0,3.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Alan Jouban,KO/TKO,1,2014-08-16,Seth Baczynski,Alan Jouban,2.968,3.017,0.6,0.4,0.167,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Thiago Alves,DEC,3,2014-04-19,Seth Baczynski,Thiago Alves,2.444,2.202,0.667,0.6,0.167,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Seth Baczynski,DEC,3,2013-11-06,Seth Baczynski,Neil Magny,2.564,2.23,0.375,0.6,0.2,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Brian Melancon,KO/TKO,1,2013-07-06,Seth Baczynski,Brian Melancon,2.561,2.037,0.429,0.8,0.2,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,830.0,1000.0
loss,Mike Pierce,DEC,3,2012-12-14,Seth Baczynski,Mike Pierce,2.646,2.318,0.5,1.0,0.2,0.6,1.0,0.0,5.0,4.2,0.0,1.0,0.0,0.0,1.0,0.0,992.0,1000.0,820.0,1000.0
win,Seth Baczynski,KO/TKO,1,2012-09-22,Seth Baczynski,Simeon Thoresen,2.563,2.164,0.6,0.8,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,930.0,1000.0
win,Seth Baczynski,DEC,3,2012-06-08,Seth Baczynski,Lance Benoist,2.975,2.086,0.5,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,940.0,1000.0
win,Seth Baczynski,SUB,2,2011-11-19,Seth Baczynski,Matt Brown,2.972,1.415,0.0,0.5,0.0,1.0,1.0,0.0,3.025,1.857,0.778,0.4,0.6,0.2,1.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Seth Baczynski,SUB,2,2011-09-17,Seth Baczynski,Clay Harvison,1.467,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1010.0,1000.0
loss,Brad Tavares,DEC,3,2010-06-19,Seth Baczynski,Brad Tavares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Ryan Bader,KO/TKO,3,2016-11-19,Ryan Bader,Rogerio Nogueira,2.587,1.473,2.05,0.8,0.333,0.067,1.0,0.0,1.7,2.0,0.5,0.5,0.0,0.0,1.0,0.0,992.0,1000.0,880.0,1000.0
win,Ryan Bader,KO/TKO,2,2016-09-03,Ryan Bader,Ilir Latifi,2.616,1.481,2.158,0.8,0.286,0.071,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1000.0,950.0,1000.0
