W/L,winner,method,Round,Date,Fighter,Opponent,f_SLpM,f_SApM,f_TD_pct,f_W_pct,f_KO_pct,f_Sub_pct,f_Finish_pct,f_ctrl,o_SLpM,o_SApM,o_TD_pct,o_W_pct,o_KO_pct,o_Sub_pct,o_Finish_pct,o_ctrl,f_ELO,o_ELO,f_survivor_score,o_survivor_score
loss,Reza Madadi,KO/TKO,3,2016-05-08,Yan Cabral,Reza Madadi,1.926,2.52,2.667,0.4,0.0,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Johnny Case,DEC,3,2015-11-07,Yan Cabral,Johnny Case,1.834,0.939,2.5,0.75,0.0,0.667,1.0,0.0,3.25,1.799,2.667,1.0,0.333,0.333,1.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Yan Cabral,SUB,2,2014-10-25,Yan Cabral,Naoyuki Kotani,1.936,1.008,2.667,0.667,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Zak Cummings,DEC,3,2014-05-10,Yan Cabral,Zak Cummings,2.203,0.441,3.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1010.0,1000.0
win,Yan Cabral,DEC,3,2013-10-09,Yan Cabral,David Mitchell,4.156,0.649,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,880.0,1000.0
win,Yan Cabral,SUB,2,2011-09-24,Yan Cabral,Kazushi Sakuraba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,890.0,1000.0
win,Alvin Cacdac,SUB,2,2008-11-21,Alvin Cacdac,Jose Palacios,0.203,0.101,0.0,0.6,0.333,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Bryan Caraway,SUB,1,2008-06-27,Alvin Cacdac,Bryan Caraway,0.0,0.0,0.0,1.0,0.333,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Alvin Cacdac,SUB,2,2008-02-01,Alvin Cacdac,Evan Esguerra,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1010.0,1000.0
win,Alvin Cacdac,SUB,2,2007-02-10,Alvin Cacdac,Bobby Sanchez,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1020.0,1000.0
win,Alvin Cacdac,KO/TKO,1,2006-07-28,Alvin Cacdac,Casey Olson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1000.0,1030.0,1000.0
loss,Sean Woodson,DEC,3,2024-05-11,Alex Caceres,Sean Woodson,4.117,2.914,0.452,0.4,0.118,0.235,1.0,19.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055.0,1000.0,1040.0,1000.0
loss,Giga Chikadze,DEC,3,2023-08-26,Alex Caceres,Giga Chikadze,4.115,2.791,0.483,0.8,0.118,0.235,1.0,20.414,4.05,3.351,0.222,0.8,0.429,0.0,1.0,0.0,1094.0,1008.0,1050.0,1010.0
win,Alex Caceres,DEC,3,2023-06-03,Alex Caceres,Daniel Pineda,4.121,2.836,0.464,0.8,0.125,0.25,1.0,21.143,5.915,8.451,0.0,0.0,0.0,0.0,1.0,0.0,1155.0,1000.0,1060.0,1000.0
win,Alex Caceres,KO/TKO,1,2022-12-17,Alex Caceres,Julian Erosa,4.11,2.832,0.481,0.8,0.067,0.267,1.0,21.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Sodiq Yusuff,DEC,3,2022-03-12,Alex Caceres,Sodiq Yusuff,4.097,2.763,0.462,1.0,0.067,0.267,1.0,22.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1010.0,1000.0
win,Alex Caceres,SUB,2,2021-10-23,Alex Caceres,SeungWoo Choi,4.06,2.732,0.48,1.0,0.071,0.214,1.0,23.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,900.0,1000.0
win,Alex Caceres,DEC,3,2021-02-27,Alex Caceres,Kevin Croom,4.154,2.914,0.435,0.8,0.083,0.25,1.0,6.087,9.677,3.871,0.0,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Alex Caceres,SUB,1,2020-08-29,Alex Caceres,Austin Springer,4.143,2.901,0.455,0.6,0.091,0.182,1.0,6.364,3.459,2.682,4.0,1.0,0.0,1.0,1.0,0.0,1144.15,1000.0,1160.0,1000.0
win,Alex Caceres,DEC,3,2020-06-06,Alex Caceres,Chase Hooper,3.984,2.864,0.429,0.6,0.1,0.2,1.0,6.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.0595,1000.0,1030.0,1000.0
win,Alex Caceres,DEC,3,2019-07-20,Alex Caceres,Steven Peterson,3.841,2.764,0.45,0.4,0.111,0.222,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1010.0,1000.0
loss,Kron Gracie,SUB,1,2019-02-17,Alex Caceres,Kron Gracie,3.858,2.78,0.474,0.4,0.111,0.222,1.0,7.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1016.0,820.0,1020.0
win,Alex Caceres,DEC,3,2018-07-06,Alex Caceres,Martin Bravo,3.75,2.618,0.5,0.4,0.125,0.25,1.0,7.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.6753350000001,1000.0,1130.0,1000.0
loss,Wang Guan,DEC,3,2017-11-25,Alex Caceres,Wang Guan,3.785,2.466,0.529,0.6,0.125,0.25,1.0,8.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,1000.0,1030.0,1000.0
win,Alex Caceres,KO/TKO,2,2017-06-17,Alex Caceres,Rolando Dy,3.719,2.489,0.562,0.4,0.0,0.286,1.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.9480615500001,1000.0,1010.0,1000.0
loss,Jason Knight,SUB,2,2017-01-28,Alex Caceres,Jason Knight,3.76,2.448,0.6,0.4,0.0,0.286,1.0,9.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.0644258585003,1000.0,1110.0,1000.0
loss,Yair Rodriguez,DEC,5,2016-08-06,Alex Caceres,Yair Rodriguez,3.955,2.09,0.571,0.4,0.0,0.286,1.0,7.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Alex Caceres,DEC,3,2016-06-04,Alex Caceres,Cole Miller,3.702,2.079,0.231,0.4,0.0,0.333,1.0,8.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.0,1000.0,1040.0,1000.0
win,Alex Caceres,DEC,3,2016-01-30,Alex Caceres,Masio Fullen,3.565,2.043,0.167,0.4,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.7489356685953,1000.0,1120.0,1000.0
loss,Francisco Rivera,KO/TKO,1,2015-06-06,Alex Caceres,Francisco Rivera,3.574,2.011,0.182,0.4,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142.041361165397,1000.0,1140.0,1000.0
loss,Masanori Kanehara,DEC,3,2014-09-20,Alex Caceres,Masanori Kanehara,3.823,1.996,0.2,0.6,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1151.9842564469748,1000.0,1150.0,1000.0
loss,Urijah Faber,SUB,3,2014-07-05,Alex Caceres,Urijah Faber,4.033,2.017,0.222,0.8,0.0,0.4,1.0,0.0,1.463,1.045,0.0,1.0,0.0,1.0,1.0,0.0,1008.0,1000.0,1100.0,1000.0
win,Alex Caceres,SUB,3,2014-01-25,Alex Caceres,Sergio Pettis,4.099,1.807,0.125,0.6,0.0,0.25,1.0,0.0,5.4,2.733,2.0,1.0,0.0,0.0,1.0,0.0,1116.0,972.0,1140.0,820.0
win,Alex Caceres,DEC,3,2013-09-21,Alex Caceres,Roland Delorme,3.528,1.552,0.143,0.6,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.623154398263,1000.0,1250.0,1000.0
nc,Draw,other,3,2013-03-02,Alex Caceres,Kyung Ho Kang,3.892,1.668,0.167,0.6,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1200.0,1000.0
win,Alex Caceres,DEC,3,2012-11-10,Alex Caceres,Motonobu Tezuka,3.775,1.731,0.2,0.4,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1000.0,1230.0,1000.0
win,Alex Caceres,SUB,2,2012-07-11,Alex Caceres,Damacio Page,4.145,1.831,0.25,0.25,0.0,0.0,1.0,0.0,4.839,2.903,1.0,1.0,0.0,1.0,1.0,0.0,1174.0067752061416,1000.0,1260.0,1000.0
loss,Edwin Figueroa,DEC,3,2012-02-04,Alex Caceres,Edwin Figueroa,4.415,1.321,0.0,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Alex Caceres,DEC,3,2011-11-12,Alex Caceres,Cole Escovedo,1.304,0.957,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105.92,1000.0,1020.0,1000.0
loss,Jimy Hettes,SUB,2,2011-08-14,Alex Caceres,Jimy Hettes,0.606,2.727,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,1100.0,1000.0
