W/L,winner,method,Round,Date,Fighter,Opponent,f_SLpM,f_SApM,f_TD_pct,f_W_pct,f_KO_pct,f_Sub_pct,f_Finish_pct,f_ctrl,o_SLpM,o_SApM,o_TD_pct,o_W_pct,o_KO_pct,o_Sub_pct,o_Finish_pct,o_ctrl,f_ELO,o_ELO,f_survivor_score,o_survivor_score
loss,Ronda Rousey,SUB,1,2011-08-12,Sarah D'alelio,Ronda Rousey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Matta Pablo Alfonso,SUB,1,2010-01-30,Marcos da,Matta Pablo Alfonso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Silva Johnny Walker,DEC,3,2018-08-11,Henrique da,Silva Johnny Walker,4.0,5.239,0.167,0.2,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1010.0,1000.0
loss,Silva Gokhan Saki,KO/TKO,1,2017-09-22,Henrique da,Silva Gokhan Saki,3.976,4.873,0.2,0.4,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,890.0,1000.0
loss,Silva Ion Cutelaba,KO/TKO,1,2017-06-10,Henrique da,Silva Ion Cutelaba,3.987,4.55,0.25,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Silva Jordan Johnson,DEC,3,2017-01-28,Henrique da,Silva Jordan Johnson,5.448,5.679,0.333,0.667,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Silva Paul Craig,SUB,2,2016-12-17,Henrique da,Silva Paul Craig,6.614,6.138,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Henrique da,SUB,2,2016-10-01,Henrique da,Silva Joachim Christensen,8.82,7.187,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Henrique da,KO/TKO,2,2016-06-04,Henrique da,Silva Jonathan Wilson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,900.0,1000.0
loss,Silva Wang Cong,DEC,3,2025-06-07,Ariane da,Silva Wang Cong,4.039,3.867,0.385,0.6,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,1100.0,1000.0
loss,Silva Jasmine Jasudavicius,SUB,3,2024-11-02,Ariane da,Silva Jasmine Jasudavicius,4.102,3.959,0.417,0.6,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Silva Karine Silva,DEC,3,2024-04-27,Ariane da,Silva Karine Silva,4.268,4.234,0.455,0.8,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Ariane da,SUB,2,2023-12-16,Ariane da,Silva Casey O'Neill,3.935,4.195,0.4,0.6,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Ariane da,DEC,3,2023-07-01,Ariane da,Silva Melissa Gatto,3.863,3.967,0.333,0.4,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,1100.0,1000.0
win,Ariane da,DEC,3,2023-03-11,Ariane da,Silva JJ Aldrich,3.335,4.096,0.125,0.4,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1100.0,1000.0
loss,Silva Priscila Cachoeira,KO/TKO,1,2022-08-13,Ariane da,Silva Priscila Cachoeira,3.331,3.902,0.143,0.6,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1110.0,1000.0
win,Ariane da,DEC,3,2021-09-18,Ariane da,Silva Mandy Bohm,2.765,4.246,0.167,0.4,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,980.0,1000.0
loss,Silva Montana De La Rosa,KO/TKO,2,2021-06-05,Ariane da,Silva Montana De La Rosa,3.035,4.445,0.2,0.4,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Silva Antonina Shevchenko,KO/TKO,2,2020-11-21,Ariane da,Silva Antonina Shevchenko,3.336,4.519,0.25,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Ariane da,SUB,1,2020-07-18,Ariane da,Silva Luana Carolina,3.378,4.622,0.333,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Ariane da,DEC,3,2019-11-16,Ariane da,Silva Isabela de Padua,4.033,6.433,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,900.0,1000.0
loss,Silva Molly McCann,DEC,3,2019-06-22,Ariane da,Silva Molly McCann,3.533,5.667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Silva Joanne Wood,DEC,3,2019-01-19,Ariane da,Silva Joanne Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,870.0,1000.0
loss,Silva Joe Solecki,DEC,3,2022-06-04,Alex Da,Silva Joe Solecki,2.07,2.646,2.333,0.333,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1010.0,1000.0
loss,Silva Brad Riddell,DEC,3,2020-09-26,Alex Da,Silva Brad Riddell,1.079,1.468,2.0,0.5,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Alex Da,DEC,3,2019-08-10,Alex Da,Silva Kazula Vargas,0.98,1.714,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1040.0,1000.0
loss,Silva Alexander Yakovlev,SUB,2,2019-04-20,Alex Da,Silva Alexander Yakovlev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Radley Da,DEC,3,2025-08-12,Radley Da,Silva George Mangos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1008.0,1000.0,1010.0
loss,Ren Yawei,SUB,1,2025-05-23,Deni Daffa,Ren Yawei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1000.0,1060.0,1000.0
win,Nicolas Dalby,DEC,3,2025-11-22,Nicolas Dalby,Saygid Izagakhmaev,4.054,3.69,0.857,0.6,0.143,0.0,1.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1100.0,1000.0
loss,Randy Brown,KO/TKO,2,2025-04-26,Nicolas Dalby,Randy Brown,4.06,3.524,0.923,0.8,0.143,0.0,1.0,30.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Rinat Fakhretdinov,DEC,3,2024-06-22,Nicolas Dalby,Rinat Fakhretdinov,4.028,3.431,1.0,0.8,0.143,0.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,1000.0,1160.0,1000.0
win,Nicolas Dalby,KO/TKO,2,2023-11-04,Nicolas Dalby,Gabriel Bonfim,3.933,3.39,1.091,0.8,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,970.0,1000.0
win,Nicolas Dalby,DEC,3,2023-06-17,Nicolas Dalby,Muslim Salikhov,3.737,3.345,1.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,1000.0,1170.0,1000.0
win,Nicolas Dalby,DEC,3,2023-01-21,Nicolas Dalby,Warlley Alves,3.225,3.217,1.111,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1000.0,1000.0
win,Nicolas Dalby,DEC,3,2022-07-23,Nicolas Dalby,Claudio Silva,3.256,3.562,1.125,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,992.0,820.0,1100.0
loss,Tim Means,DEC,3,2021-06-26,Nicolas Dalby,Tim Means,3.2,3.567,1.286,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036.0,1000.0,1180.0,1000.0
win,Nicolas Dalby,DEC,3,2020-11-21,Nicolas Dalby,Daniel Rodriguez,3.175,3.188,1.5,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,1008.0,1280.0,1020.0
nc,Draw,other,1,2020-07-25,Nicolas Dalby,Jesse Ronson,3.027,2.907,1.8,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1100.0,1000.0
win,Nicolas Dalby,DEC,3,2019-09-28,Nicolas Dalby,Alex Oliveira,3.267,3.333,2.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1030.0,1000.0
loss,Peter Sobotta,DEC,3,2016-09-03,Nicolas Dalby,Peter Sobotta,4.044,3.6,2.667,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1380.0,1000.0
loss,Zak Cummings,DEC,3,2016-04-10,Nicolas Dalby,Zak Cummings,4.167,3.533,4.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1040.0,1000.0
draw,Draw,DEC,3,2015-10-24,Nicolas Dalby,Darren Till,2.733,3.8,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Nicolas Dalby,DEC,3,2015-05-30,Nicolas Dalby,Elizeu Zaleski dos Santos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,992.0,1050.0,880.0
loss,Kazuo Misaki,DEC,3,2012-03-03,Paul Daley,Kazuo Misaki,3.027,2.939,0.083,0.2,1.0,0.0,1.0,10.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Tyron Woodley,DEC,3,2011-07-30,Paul Daley,Tyron Woodley,3.49,3.396,0.091,0.4,1.0,0.0,1.0,3.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Nick Diaz,KO/TKO,1,2011-04-09,Paul Daley,Nick Diaz,3.363,2.125,0.111,0.8,1.0,0.0,1.0,0.0,5.911,3.01,1.125,1.0,0.556,0.333,1.0,0.125,1000.0,1000.0,1000.0,1000.0
win,Paul Daley,KO/TKO,1,2010-12-04,Paul Daley,Scott Smith,3.123,2.115,0.125,0.8,1.0,0.0,1.0,0.0,1.883,12.839,1.0,0.0,0.0,0.0,1.0,0.0,984.0,1000.0,750.0,1000.0
loss,Josh Koscheck,DEC,3,2010-05-08,Paul Daley,Josh Koscheck,4.519,2.61,0.143,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1480.0,1000.0
win,Paul Daley,KO/TKO,1,2010-01-02,Paul Daley,Dustin Hazelett,4.642,2.708,0.167,0.8,1.0,0.0,1.0,0.0,0.251,1.255,0.0,0.0,0.0,0.0,1.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Paul Daley,KO/TKO,1,2009-09-19,Paul Daley,Martin Kampmann,3.904,2.458,0.2,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Paul Daley,KO/TKO,1,2009-04-18,Paul Daley,Junior Barata,3.285,2.245,0.25,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,990.0,1000.0
win,Paul Daley,KO/TKO,1,2009-03-29,Paul Daley,Aurelijus Kerpe,2.817,2.338,0.333,0.667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.0,1000.0,1070.0,1000.0
loss,Jake Shields,SUB,2,2008-10-04,Paul Daley,Jake Shields,3.797,2.278,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.064,1000.0,700.0,1000.0
win,Paul Daley,KO/TKO,1,2008-01-25,Paul Daley,Sammy Morgan,3.684,2.982,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1510.0,1000.0
win,Paul Daley,KO/TKO,2,2007-06-22,Paul Daley,Duane Ludwig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1000.0,1000.0
loss,Thiago Silva,SUB,1,2006-09-27,Dave Dalgliesh,Thiago Silva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,1100.0,1000.0
loss,Daniel Puder,DEC,3,2007-09-29,Richard Dalton,Daniel Puder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1530.0,1000.0
loss,Alexis Davis,DEC,3,2017-04-22,Cindy Dandois,Alexis Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.995,3.837,0.556,0.6,0.167,0.167,1.0,5.667,1000.0,1000.0,1000.0,1000.0
loss,Sulangrangbo,KO/TKO,1,2025-05-23,Peter Danesoe,Sulangrangbo,4.985,7.015,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,880.0,1000.0
loss,Nyamjargal Tumendemberel,SUB,1,2023-08-27,Peter Danesoe,Nyamjargal Tumendemberel,4.563,3.194,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Peter Danesoe,KO/TKO,1,2023-05-28,Peter Danesoe,Sim Kai Xiong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,992.0,1000.0,920.0
win,Jarjis Danho,KO/TKO,1,2021-04-10,Jarjis Danho,Yorgan De Castro,3.394,5.77,0.5,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
draw,Draw,DEC,3,2016-09-03,Jarjis Danho,Christian Colombo,3.3,6.686,0.0,0.0,0.0,0.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,1000.0,950.0,1000.0
loss,Daniel Omielanczuk,DEC,3,2016-02-27,Jarjis Danho,Daniel Omielanczuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,1200.0,1000.0
loss,Medina Ryan Gandra,KO/TKO,1,2026-02-28,Jose Daniel,Medina Ryan Gandra,2.165,5.068,0.25,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1008.0,1000.0,1010.0
loss,Medina Dusko Todorovic,SUB,1,2025-09-13,Jose Daniel,Medina Dusko Todorovic,2.177,5.249,0.333,0.0,0.0,0.0,1.0,18.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1530.0,1000.0
