W/L,winner,Date,Fighter,Opponent,f_SLpM,f_SApM,f_TD_pct,f_W_pct,f_KO_pct,f_Sub_pct,f_Finish_pct,o_SLpM,o_SApM,o_TD_pct,o_W_pct,o_KO_pct,o_Sub_pct,o_Finish_pct,f_ELO,o_ELO
win,Ben Earwood,2000-11-17,Ben Earwood,Chris Lytle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Curtis Blaydes,2016-10-01,Cody East,Curtis Blaydes,6.047,7.209,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Walt Harris,2016-04-23,Cody East,Walt Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0
loss,Drew McFedries,2008-06-21,Marvin Eastman,Drew McFedries,1.273,2.01,0.25,0.2,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
win,Marvin Eastman,2008-02-02,Marvin Eastman,Terry Martin,0.739,1.504,0.143,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Quinton Jackson,2007-02-03,Marvin Eastman,Quinton Jackson,0.461,0.461,0.167,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
draw,Draw,2006-07-22,Marvin Eastman,Jorge Oliveira,0.909,0.909,0.2,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Travis Lutter,2004-10-22,Marvin Eastman,Travis Lutter,0.406,1.32,0.25,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0
loss,Vitor Belfort,2003-06-06,Marvin Eastman,Vitor Belfort,0.344,0.458,0.333,0.667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0
win,Marvin Eastman,2002-11-23,Marvin Eastman,Alex Stiebling,0.394,0.525,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,1000.0
