W/L,winner,method,Round,Date,Fighter,Opponent,f_SLpM,f_SApM,f_TD_pct,f_W_pct,f_KO_pct,f_Sub_pct,f_Finish_pct,f_ctrl,o_SLpM,o_SApM,o_TD_pct,o_W_pct,o_KO_pct,o_Sub_pct,o_Finish_pct,o_ctrl,f_ELO,o_ELO,f_survivor_score,o_survivor_score
loss,Mike Swick,DEC,3,2002-08-31,James Gabert,Mike Swick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Rogerio Bontorin,SUB,2,2018-08-10,Gustavo Gabriel,Rogerio Bontorin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1010.0,1000.0
loss,Yan Xiaonan,DEC,3,2020-11-07,Claudia Gadelha,Yan Xiaonan,3.398,4.532,3.091,0.6,0.0,0.143,1.0,28.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,1020.0,1000.0
win,Claudia Gadelha,DEC,3,2020-05-16,Claudia Gadelha,Angela Hill,3.175,4.384,3.3,0.6,0.0,0.167,1.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1032.0,880.0,1030.0
win,Claudia Gadelha,DEC,3,2019-07-06,Claudia Gadelha,Randa Markos,3.232,4.69,3.667,0.6,0.0,0.2,1.0,16.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.0,1000.0,760.0,1000.0
loss,Nina Nunes,DEC,3,2018-12-08,Claudia Gadelha,Nina Nunes,3.227,4.473,3.875,0.6,0.0,0.2,1.0,18.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,1000.0,770.0,1000.0
win,Claudia Gadelha,DEC,3,2018-06-09,Claudia Gadelha,Carla Esparza,3.445,4.706,3.857,0.6,0.0,0.25,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.0,1000.0,1040.0,1000.0
loss,Jessica Andrade,DEC,3,2017-09-22,Claudia Gadelha,Jessica Andrade,3.555,3.907,4.5,0.6,0.0,0.25,1.0,23.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.0,1000.0,1050.0,1000.0
win,Claudia Gadelha,SUB,1,2017-06-03,Claudia Gadelha,Karolina Kowalkiewicz,3.588,3.941,5.2,0.6,0.0,0.0,1.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.14,1000.0,1060.0,1000.0
win,Claudia Gadelha,DEC,3,2016-11-19,Claudia Gadelha,Cortney Casey,3.871,4.471,5.0,0.5,0.0,0.0,1.0,23.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.7798,1000.0,1070.0,1000.0
