W/L,winner,Date,Fighter,Opponent,f_SLpM,f_SApM,f_TD_pct,f_W_pct,f_KO_pct,f_Sub_pct,f_Finish_pct,o_SLpM,o_SApM,o_TD_pct,o_W_pct,o_KO_pct,o_Sub_pct,o_Finish_pct,f_ELO,o_ELO
loss,Victoria Leonardo,2020-11-17,Chelsea Hackett,Victoria Leonardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Marco Ruas,1995-12-16,Keith Hackney,Marco Ruas,4.488,1.171,0.0,0.667,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Royce Gracie,1994-12-16,Keith Hackney,Royce Gracie,17.143,0.504,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
win,Keith Hackney,1994-12-16,Keith Hackney,Joe Son,17.143,0.504,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0
win,Keith Hackney,1994-09-09,Keith Hackney,Emmanuel Yarborough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0
win,Cody Haddon,2024-10-12,Cody Haddon,Dan Argueta,8.571,2.857,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
win,Cody Haddon,2024-08-20,Cody Haddon,Billy Brand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Cameron Smotherman,2024-10-19,Jake Hadley,Cameron Smotherman,3.761,3.722,0.143,0.6,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
win,Jake Hadley,2024-07-27,Jake Hadley,Caolan Loughran,3.363,3.557,0.167,0.4,0.333,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Charles Johnson,2024-05-11,Jake Hadley,Charles Johnson,3.415,3.202,0.2,0.6,0.333,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1008.0
loss,Cody Durden,2023-08-05,Jake Hadley,Cody Durden,4.207,3.516,0.25,0.75,0.333,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,999.936
win,Jake Hadley,2023-03-18,Jake Hadley,Malcolm Gordon,4.022,3.535,0.333,0.667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
win,Jake Hadley,2022-11-05,Jake Hadley,Carlos Candelario,1.467,1.725,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0
loss,Allan Nascimento,2022-05-14,Jake Hadley,Allan Nascimento,3.177,2.566,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.8720000000001,1000.0
win,Jake Hadley,2021-10-12,Jake Hadley,Mitch Raposo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
win,Steve Hadsel,2009-06-19,Steve Hadsel,Taylor Roberts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.7440000000001,1000.0
loss,Terrance McKinney,2025-02-01,Damir Hadzovic,Terrance McKinney,3.368,3.195,0.455,0.4,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
loss,Marc Diakiese,2022-07-23,Damir Hadzovic,Marc Diakiese,3.794,3.522,0.5,0.6,0.5,0.0,1.0,2.879,4.28,0.0,0.0,0.0,0.0,1.0,1031.4880000000003,1000.0
win,Damir Hadzovic,2021-06-26,Damir Hadzovic,Yancy Medeiros,3.095,2.975,0.333,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.4880000000003,1000.0
